Start_Time	End_Time	Peak	DC_amp
202405130903	202405130903	115.0,229.0	2.160812
202405130903	202405130903	241.0,353.0	0.000000
202405130903	202405130903	365.0,479.0	-2.335775
202405130903	202405130903	491.0,603.0	0.000000
202405130903	202405130903	615.0,729.0	2.160879
202405130903	202405130903	741.0,853.0	0.000000
202405130903	202405130903	865.0,979.0	-2.335610
202405130903	202405130903	991.0,1103.0	0.000000
202405130903	202405130903	1115.0,1229.0	2.160945
202405130903	202405130903	1241.0,1353.0	0.000000
202405130903	202405130903	1365.0,1479.0	-2.335717
202405130903	202405130903	1491.0,1603.0	0.000000
202405130903	202405130903	1615.0,1729.0	2.161315
202405130903	202405130903	1741.0,1853.0	0.000000
202405130903	202405130903	1865.0,1979.0	-2.335400
202405130903	202405130903	1991.0,2103.0	0.000000
202405130903	202405130903	2115.0,2229.0	2.161390
202405130903	202405130903	2241.0,2353.0	0.000000
202405130903	202405130903	2365.0,2479.0	-2.335099
202405130903	202405130903	2491.0,2603.0	0.000000
202405130903	202405130903	2615.0,2729.0	2.161703
202405130903	202405130903	2741.0,2853.0	0.000000
202405130903	202405130903	2865.0,2979.0	-2.335121
202405130903	202405130903	2991.0,3103.0	0.000000
202405130903	202405130903	3115.0,3229.0	2.161534
202405130903	202405130903	3241.0,3353.0	0.000000
202405130903	202405130903	3365.0,3479.0	-2.335584
202405130903	202405130903	3491.0,3603.0	0.000000
202405130903	202405130903	3615.0,3729.0	2.161364
202405130903	202405130903	3741.0,3853.0	0.000000
202405130903	202405130903	3865.0,3979.0	-2.335252
202405130903	202405130903	3991.0,4103.0	0.000000
202405130903	202405130903	4115.0,4229.0	2.161170
202405130903	202405130903	4241.0,4353.0	0.000000
202405130903	202405130903	4365.0,4479.0	-2.335618
202405130903	202405130903	4491.0,4603.0	0.000000
202405130903	202405130903	4615.0,4729.0	2.160952
202405130903	202405130903	4741.0,4853.0	0.000000
202405130903	202405130903	4865.0,4979.0	-2.335773
202405130903	202405130903	4991.0,5103.0	0.000000
202405130903	202405130903	5115.0,5229.0	2.160841
202405130903	202405130903	5241.0,5353.0	0.000000
202405130903	202405130903	5365.0,5479.0	-2.335865
202405130903	202405130903	5491.0,5603.0	0.000000
202405130903	202405130903	5615.0,5729.0	2.160899
202405130903	202405130903	5741.0,5853.0	0.000000
202405130903	202405130903	5865.0,5979.0	-2.335376
202405130903	202405130903	5991.0,6103.0	0.000000
202405130903	202405130903	6115.0,6229.0	2.160899
202405130903	202405130903	6241.0,6353.0	0.000000
202405130903	202405130903	6365.0,6479.0	-2.335446
202405130903	202405130903	6491.0,6603.0	0.000000
202405130903	202405130903	6615.0,6729.0	2.161313
202405130903	202405130903	6741.0,6853.0	0.000000
202405130903	202405130903	6865.0,6979.0	-2.335378
202405130903	202405130903	6991.0,7103.0	0.000000
202405130903	202405130903	7115.0,7229.0	2.161224
202405130903	202405130903	7241.0,7353.0	0.000000
202405130903	202405130903	7365.0,7479.0	-2.335482
202405130903	202405130903	7491.0,7603.0	0.000000
202405130903	202405130903	7615.0,7729.0	2.161487
202405130903	202405130903	7741.0,7853.0	0.000000
202405130903	202405130903	7865.0,7979.0	-2.335417
202405130903	202405130903	7991.0,8103.0	0.000000
202405130903	202405130903	8115.0,8229.0	2.161035
202405130903	202405130903	8241.0,8353.0	0.000000
202405130903	202405130903	8365.0,8479.0	-2.335494
202405130903	202405130903	8491.0,8603.0	0.000000
202405130903	202405130903	8615.0,8729.0	2.160758
202405130903	202405130903	8741.0,8853.0	0.000000
202405130903	202405130903	8865.0,8979.0	-2.335969
202405130903	202405130903	8991.0,9103.0	0.000000
202405130903	202405130903	9115.0,9229.0	2.161076
202405130903	202405130903	9241.0,9353.0	0.000000
202405130903	202405130903	9365.0,9479.0	-2.335873
202405130903	202405130903	9491.0,9603.0	0.000000
202405130903	202405130903	9615.0,9729.0	2.160933
202405130903	202405130903	9741.0,9853.0	0.000000
