绝对时间: 202405130903	起算点(秒): 1715590980.0	采样间隔(秒): 0.002000
0.000000	0.228000	2.160812
0.252000	0.476000	0.000000
0.500000	0.728000	-2.335775
0.752000	0.976000	0.000000
1.000000	1.228000	2.160879
1.252000	1.476000	0.000000
1.500000	1.728000	-2.335610
1.752000	1.976000	0.000000
2.000000	2.228000	2.160945
2.252000	2.476000	0.000000
2.500000	2.728000	-2.335717
2.752000	2.976000	0.000000
3.000000	3.228000	2.161315
3.252000	3.476000	0.000000
3.500000	3.728000	-2.335400
3.752000	3.976000	0.000000
4.000000	4.228000	2.161390
4.252000	4.476000	0.000000
4.500000	4.728000	-2.335099
4.752000	4.976000	0.000000
5.000000	5.228000	2.161703
5.252000	5.476000	0.000000
5.500000	5.728000	-2.335121
5.752000	5.976000	0.000000
6.000000	6.228000	2.161534
6.252000	6.476000	0.000000
6.500000	6.728000	-2.335584
6.752000	6.976000	0.000000
7.000000	7.228000	2.161364
7.252000	7.476000	0.000000
7.500000	7.728000	-2.335252
7.752000	7.976000	0.000000
8.000000	8.228000	2.161170
8.252000	8.476000	0.000000
8.500000	8.728000	-2.335618
8.752000	8.976000	0.000000
9.000000	9.228000	2.160952
9.252000	9.476000	0.000000
9.500000	9.728000	-2.335773
9.752000	9.976000	0.000000
10.000000	10.228000	2.160841
10.252000	10.476000	0.000000
10.500000	10.728000	-2.335865
10.752000	10.976000	0.000000
11.000000	11.228000	2.160899
11.252000	11.476000	0.000000
11.500000	11.728000	-2.335376
11.752000	11.976000	0.000000
12.000000	12.228000	2.160899
12.252000	12.476000	0.000000
12.500000	12.728000	-2.335446
12.752000	12.976000	0.000000
13.000000	13.228000	2.161313
13.252000	13.476000	0.000000
13.500000	13.728000	-2.335378
13.752000	13.976000	0.000000
14.000000	14.228000	2.161224
14.252000	14.476000	0.000000
14.500000	14.728000	-2.335482
14.752000	14.976000	0.000000
15.000000	15.228000	2.161487
15.252000	15.476000	0.000000
15.500000	15.728000	-2.335417
15.752000	15.976000	0.000000
16.000000	16.228000	2.161035
16.252000	16.476000	0.000000
16.500000	16.728000	-2.335494
16.752000	16.976000	0.000000
17.000000	17.228000	2.160758
17.252000	17.476000	0.000000
17.500000	17.728000	-2.335969
17.752000	17.976000	0.000000
18.000000	18.228000	2.161076
18.252000	18.476000	0.000000
18.500000	18.728000	-2.335873
18.752000	18.976000	0.000000
19.000000	19.228000	2.160933
19.252000	19.476000	0.000000
19.500000	19.728000	-2.335800
19.752000	19.976000	0.000000
20.000000	20.228000	2.160625
20.252000	20.476000	0.000000
20.500000	20.728000	-2.335361
20.752000	20.976000	0.000000
21.000000	21.228000	2.161468
21.252000	21.476000	0.000000
21.500000	21.728000	-2.334993
21.752000	21.976000	0.000000
